job_offer_id,client_name,job_offer_name,job_tag,job_offer_areas,job_offer_skill_names,employee_count,established,job_offer_min_salary,job_offer_max_salary,avg_salary
273598,REALITY 株式会社,エンジニア／Data Engineer,その他,['東京都'],"['SQL', 'Apache', 'GCP']",110,2018-06-30 15:00:00,500,1000.0,750.0
286244,株式会社 システムアイ,AIエンジニア,AIエンジニア,"['東京都', '神奈川県']","['JavaScript', 'PHP', 'Ruby', 'Java', 'Python', 'Go', 'Node.js', 'React', 'TypeScript', 'AWS', 'Docker', 'MySQL', 'Nginx', 'PostgreSQL', 'Azure', 'Haskell', 'Kubernetes', 'MongoDB', 'GCP']",327,1996-07-31 15:00:00,400,900.0,650.0
268487,エメラダ 株式会社,機械学習エンジニア,AIエンジニア,"['東京都', 'フルリモート']","['Python', 'AWS', 'Azure', 'GCP']",40,2016-05-31 15:00:00,600,1000.0,800.0
249386,株式会社 BLAM,機械学習エンジニア,AIエンジニア,['東京都'],"['Python', 'GCP', 'scikit-learn']",55,2015-03-31 15:00:00,420,600.0,510.0
285414,ケイズドットコム 株式会社,DBAエンジニア,その他,"['東京都', '神奈川県', '千葉県', '埼玉県']","['SQL', 'MySQL', 'PostgreSQL', 'PowerShell', 'Oracle', 'Zabbix']",40,2001-07-31 15:00:00,420,500.0,460.0
279639,Atlas Technologies 株式会社,【Fintech】データサイエンティスト（マネージャー）,データサイエンティスト,['東京都'],"['SQL', 'Python', 'R', 'AWS']",70,2017-12-31 15:00:00,1020,900.0,960.0
246313,ウォンテッドリー 株式会社,シニアデータサイエンティスト,データサイエンティスト,['東京都'],"['Ruby', 'Python', 'Go', 'Kubernetes', 'Elasticsearch']",140,2010-08-31 15:00:00,700,1270.0,985.0
290559,株式会社 ファームノート,AIエンジニア,AIエンジニア,"['東京都', '北海道']","['Python', 'TypeScript', 'AWS', 'TensorFlow', 'GCP']",100,2013-10-31 15:00:00,700,1200.0,950.0
232868,ストックマーク 株式会社,【Dev】アナリティクスエンジニア（SaaS事業）,その他,"['東京都', 'フルリモート']","['SQL', 'Azure']",150,2016-10-31 15:00:00,600,900.0,750.0
250901,株式会社 Antway,システムアーキテクト部 オープンポジション,その他,['東京都'],"['JavaScript', 'React', 'Vue.js', 'Angular']",274,2018-10-31 15:00:00,500,1000.0,750.0
284606,AI model 株式会社,AIエンジニア（CTO候補）,AIエンジニア,['東京都'],[],40,2020-07-31 15:00:00,800,900.0,850.0
223810,株式会社 パソナ,【全国】AIシステム開発,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '愛知県', '島根県', '福岡県']","['C#', 'JavaScript', 'PHP', 'Python', 'TypeScript', 'AWS', 'IoT', 'Azure']",7860,1998-01-31 15:00:00,450,800.0,625.0
